Name,Type,SRC_URI,Version,License
@babel/helper-string-parser,transitive,https://github.com/babel/babel,7.27.1,MIT
@babel/helper-validator-identifier,transitive,https://github.com/babel/babel,7.28.5,MIT
@babel/parser,transitive,https://github.com/babel/babel,7.28.6,MIT
@babel/types,transitive,https://github.com/babel/babel,7.28.6,MIT
@carbon/icon-helpers,transitive,https://github.com/carbon-design-system/carbon,10.70.0,Apache-2.0
@carbon/icons-vue,direct,https://github.com/carbon-design-system/carbon,10.49.1,Apache-2.0
@ibm/telemetry-js,transitive,https://github.com/ibm-telemetry/telemetry-js,1.10.2,Apache-2.0
@intlify/core-base,transitive,https://github.com/intlify/vue-i18n,11.2.8,MIT
@intlify/message-compiler,transitive,https://github.com/intlify/vue-i18n,11.2.8,MIT
@intlify/shared,transitive,https://github.com/intlify/vue-i18n,11.2.8,MIT
@jridgewell/sourcemap-codec,transitive,https://github.com/jridgewell/sourcemaps,1.5.5,MIT
@novnc/novnc,direct,https://github.com/novnc/noVNC,1.3.0,MPL-2.0
@popperjs/core,transitive,https://github.com/popperjs/popper-core,2.11.8,MIT
@tanstack/match-sorter-utils,transitive,https://github.com/TanStack/table,8.19.4,MIT
@tanstack/query-core,transitive,https://github.com/TanStack/query,5.90.20,MIT
@tanstack/vue-query,direct,https://github.com/TanStack/query,5.92.9,MIT
@vue/compiler-core,transitive,https://github.com/vuejs/core,3.5.24,MIT
@vue/compiler-dom,transitive,https://github.com/vuejs/core,3.5.24,MIT
@vue/compiler-sfc,transitive,https://github.com/vuejs/core,3.5.24,MIT
@vue/compiler-ssr,transitive,https://github.com/vuejs/core,3.5.24,MIT
@vue/devtools-api,transitive,https://github.com/vuejs/vue-devtools,6.6.4,MIT
@vue/reactivity,transitive,https://github.com/vuejs/core,3.5.24,MIT
@vue/runtime-core,transitive,https://github.com/vuejs/core,3.5.24,MIT
@vue/runtime-dom,transitive,https://github.com/vuejs/core,3.5.24,MIT
@vue/server-renderer,transitive,https://github.com/vuejs/core,3.5.24,MIT
@vue/shared,transitive,https://github.com/vuejs/core,3.5.24,MIT
@vuelidate/core,direct,https://github.com/vuelidate/vuelidate,2.0.3,MIT
@vuelidate/validators,direct,https://github.com/vuelidate/vuelidate,2.0.4,MIT
asynckit,transitive,https://github.com/alexindigo/asynckit,0.4.0,MIT
axios,direct,https://github.com/axios/axios,1.13.2,MIT
axios-cache-interceptor,direct,https://github.com/arthurfiorette/axios-cache-interceptor,1.11.2,MIT
bootstrap,direct,https://github.com/twbs/bootstrap,5.3.8,MIT
bootstrap-vue-next,direct,https://github.com/bootstrap-vue-next/bootstrap-vue-next,0.40.8,MIT
cache-parser,transitive,https://github.com/arthurfiorette/tinylibs,1.2.6,MIT
call-bind-apply-helpers,transitive,https://github.com/ljharb/call-bind-apply-helpers,1.0.2,MIT
combined-stream,transitive,https://github.com/felixge/node-combined-stream,1.0.8,MIT
csstype,transitive,https://github.com/frenic/csstype,3.2.3,MIT
date-fns,direct,https://github.com/date-fns/date-fns,2.28.0,MIT
date-fns-tz,direct,https://github.com/marnusw/date-fns-tz,1.3.6,MIT
delayed-stream,transitive,https://github.com/felixge/node-delayed-stream,1.0.0,MIT
dunder-proto,transitive,https://github.com/es-shims/dunder-proto,1.0.1,MIT
entities,transitive,https://github.com/fb55/entities,4.5.0,BSD-2-Clause
es-define-property,transitive,https://github.com/ljharb/es-define-property,1.0.1,MIT
es-errors,transitive,https://github.com/ljharb/es-errors,1.3.0,MIT
es-object-atoms,transitive,https://github.com/ljharb/es-object-atoms,1.1.1,MIT
es-set-tostringtag,transitive,https://github.com/es-shims/es-set-tostringtag,2.1.0,MIT
estree-walker,transitive,https://github.com/Rich-Harris/estree-walker,2.0.2,MIT
fast-defer,transitive,https://github.com/arthurfiorette/tinylibs,1.1.9,MIT
follow-redirects,transitive,https://github.com/follow-redirects/follow-redirects,1.15.11,MIT
form-data,transitive,https://github.com/form-data/form-data,4.0.5,MIT
function-bind,transitive,https://github.com/Raynos/function-bind,1.1.2,MIT
get-intrinsic,transitive,https://github.com/ljharb/get-intrinsic,1.3.0,MIT
get-proto,transitive,https://github.com/ljharb/get-proto,1.0.1,MIT
gopd,transitive,https://github.com/ljharb/gopd,1.2.0,MIT
has-symbols,transitive,https://github.com/inspect-js/has-symbols,1.1.0,MIT
has-tostringtag,transitive,https://github.com/inspect-js/has-tostringtag,1.0.2,MIT
hasown,transitive,https://github.com/inspect-js/hasOwn,2.0.2,MIT
http-vary,transitive,https://github.com/arthurfiorette/tinylibs,1.0.3,MIT
js-cookie,direct,https://github.com/js-cookie/js-cookie,3.0.1,MIT
lodash,direct,https://github.com/lodash/lodash,4.17.21,MIT
magic-string,transitive,https://github.com/Rich-Harris/magic-string,0.30.21,MIT
math-intrinsics,transitive,https://github.com/es-shims/math-intrinsics,1.1.0,MIT
mime-db,transitive,https://github.com/jshttp/mime-db,1.52.0,MIT
mime-types,transitive,https://github.com/jshttp/mime-types,2.1.35,MIT
mitt,direct,https://github.com/developit/mitt,3.0.1,MIT
nanoid,transitive,https://github.com/ai/nanoid,3.3.11,MIT
object-code,transitive,https://github.com/arthurfiorette/tinylibs,2.0.0,MIT
picocolors,transitive,https://github.com/alexeyraspopov/picocolors,1.1.1,ISC
postcss,transitive,https://github.com/postcss/postcss,8.5.6,MIT
proxy-from-env,transitive,https://github.com/Rob--W/proxy-from-env,1.1.0,MIT
remove-accents,transitive,https://github.com/tyxla/remove-accents,0.5.0,MIT
source-map-js,transitive,https://github.com/7rulnik/source-map-js,1.2.1,BSD-3-Clause
try,transitive,https://github.com/arthurfiorette/try,1.0.3,MIT
typescript,transitive,https://github.com/microsoft/TypeScript,5.9.3,Apache-2.0
vue,direct,https://github.com/vuejs/core,3.5.24,MIT
vue-demi,transitive,https://github.com/antfu/vue-demi,0.13.11,MIT
vue-demi,transitive,https://github.com/antfu/vue-demi,0.14.10,MIT
